Execution_Date,Signal_Date,Execution_Open,Execution_High,Execution_Low,Execution_Close,Signal,BUY_Probability,SELL_Probability,WAIT_Probability,BUY_Threshold,SELL_Threshold,True_Target
2024-01-16,2024-01-12,461.34278348918724,462.6532272077025,459.2071951071508,461.0224304199219,WAIT,0.3013690134029754,0.332038882656317,0.3665921039407079,0.55,0.4,0
2024-01-17,2024-01-16,458.0035703058881,458.94516670999695,456.1106608508071,458.4598083496094,WAIT,0.30315484702616263,0.3063100247797825,0.39053512819405556,0.55,0.4,1
2024-01-18,2024-01-17,460.1294153145847,463.0900892897804,458.58597937392244,462.5367736816406,WAIT,0.3136804728142272,0.31187395702037907,0.3744455701653938,0.55,0.4,1
2024-01-19,2024-01-18,463.66277131466796,468.5843115147551,462.5852901238366,468.30279541015625,WAIT,0.3538403581613429,0.3167604404648478,0.32939920137380907,0.55,0.4,1
2024-01-22,2024-01-19,469.83656769535,471.0111265282756,468.6425755704272,469.29296875,WAIT,0.3422371483132111,0.3049430923010302,0.35281975938575877,0.5,0.4,0
2024-01-23,2024-01-22,469.8366271020566,470.90439183576893,468.74942907388987,470.6617126464844,WAIT,0.3255236756435173,0.28063376815965474,0.39384255619682734,0.5,0.4,1
2024-01-24,2024-01-23,473.52526505734005,474.45714470411593,470.6810725123754,471.1761474609375,WAIT,0.2900993156248503,0.25837311587331296,0.45152756850183645,0.5,0.4,0
2024-01-25,2024-01-24,473.3020267275593,474.01066056996024,471.17618444820096,473.7388610839844,WAIT,0.2274295948033394,0.2254252137756954,0.5471451914209652,0.5,0.4,0
2024-01-26,2024-01-25,473.3117458196852,474.7969411657135,472.2925051479898,473.13702392578125,WAIT,0.24983991851082638,0.2645270024895653,0.4856330789996077,0.5,0.4,0
2024-01-29,2024-01-26,473.4476261562877,477.0295728420406,472.9040272208165,476.8839416503906,WAIT,0.2270048200218329,0.26462028006460997,0.5083748999135567,0.5,0.4,0
2024-01-30,2024-01-29,476.1947836172532,477.2237409528727,475.75794925118413,476.51513671875,WAIT,0.21835640965938666,0.26098541240241413,0.5206581779381994,0.5,0.4,0
2024-01-31,2024-01-30,474.31152767890586,474.7580490082776,468.7201907326481,468.7396240234375,WAIT,0.24930499509923523,0.28054271805723946,0.4701522868435246,0.5,0.4,0
2024-02-01,2024-01-31,470.43836054795435,474.90366254751126,469.63264923202524,474.8745422363281,WAIT,0.2320691840319607,0.27333815879522594,0.4945926571728131,0.5,0.4,1
2024-02-02,2024-02-01,475.311338761735,481.5239185736894,474.97158205447363,479.87371826171875,WAIT,0.35113231909279036,0.28792459572529355,0.36094308518191587,0.5,0.4,1
2024-02-05,2024-02-02,479.24278207992484,479.9028622372628,475.8743943997294,478.1264343261719,WAIT,0.286243140913111,0.2824107863194054,0.43134607276748316,0.5,0.4,0
2024-02-06,2024-02-05,479.06812791328576,479.8447191007998,477.6411730816488,479.5146789550781,WAIT,0.3097953787061665,0.3072766550044943,0.3829279662893383,0.5,0.4,1
2024-02-07,2024-02-06,481.75701266267623,483.9314086511629,480.85422359252465,483.5140075683594,WAIT,0.31806330374447395,0.2964373280923448,0.38549936816318064,0.5,0.4,0
2024-02-08,2024-02-07,483.51398020972,484.10610316011065,482.69858176017516,483.7275390625,WAIT,0.2844516713509399,0.27534334115844145,0.4402049874906179,0.5,0.4,0
2024-02-09,2024-02-08,484.2322866772762,486.9599980744067,483.8925299274153,486.523193359375,WAIT,0.24618747008096803,0.30100000048915926,0.4528125294298724,0.5,0.4,0
2024-02-12,2024-02-09,486.4940393494017,488.7557959365899,485.59125041968997,486.3096008300781,WAIT,0.23468980297011804,0.2658985229259756,0.49941167410390586,0.5,0.4,0
2024-02-13,2024-02-12,480.0485287007201,482.53356108402113,476.35010044182593,479.6116943359375,WAIT,0.21105868603196937,0.2842708121023772,0.5046705018656532,0.5,0.4,0
2024-02-14,2024-02-13,482.2423403647749,484.4555731763151,479.92231331563113,483.97021484375,WAIT,0.24406834543994116,0.3002531530045702,0.45567850155548795,0.5,0.4,0
2024-02-15,2024-02-14,484.66906756169146,487.4938562363656,484.19339631478,487.3094177246094,WAIT,0.3715601779062126,0.3232305335925363,0.3052092885012506,0.5,0.4,1
2024-02-16,2024-02-15,487.00856229426716,488.1442842020213,484.144936285217,484.8826904296875,WAIT,0.30240205784732255,0.3224837421475694,0.3751142000051078,0.5,0.4,0
2024-02-20,2024-02-16,483.14507545774694,483.8148722929186,479.970842787005,482.21319580078125,WAIT,0.2984939870082986,0.29088473583064245,0.41062127716105923,0.5,0.4,0
2024-02-21,2024-02-20,480.9125237294283,482.80540369003546,479.10697510086914,482.65008544921875,WAIT,0.3425286149162718,0.25184666750576606,0.40562471757796215,0.45,0.5,1
2024-02-22,2024-02-21,489.250850130992,493.5996412471157,488.2898206173805,492.6386413574219,WAIT,0.3580241063271968,0.30799676149435606,0.33397913217844716,0.45,0.5,1
2024-02-23,2024-02-22,494.3568862406584,495.191718012327,492.250447577862,492.9784851074219,WAIT,0.3210210273476572,0.28319078951809284,0.39578818313424985,0.45,0.5,0
2024-02-26,2024-02-23,493.4152350521733,493.8520693709636,491.0466841824756,491.1728820800781,WAIT,0.33241959019219225,0.3075038017894747,0.3600766080183326,0.45,0.5,0
2024-02-27,2024-02-26,491.8620813041637,492.308602616629,489.9691722068436,492.0853271484375,WAIT,0.3356067139706697,0.2588759194004611,0.4055173666288695,0.45,0.5,0
2024-02-28,2024-02-27,490.53220860244136,492.0174038220213,490.17304819868775,491.43499755859375,WAIT,0.3224265969142806,0.23798258766853514,0.43959081541718453,0.45,0.5,0
2024-02-29,2024-02-28,493.19197313484807,494.8130532117829,490.55162288856457,493.20166015625,WAIT,0.2803739823759405,0.22284535965853286,0.49678065796552623,0.45,0.5,0
2024-03-01,2024-02-29,494.07533144522296,498.2590878764062,493.6676174504883,497.83197021484375,WAIT,0.2719126582868001,0.25403340328174984,0.4740539384314502,0.45,0.5,0
2024-03-04,2024-03-01,497.03604251314806,499.1424809176813,497.00689257657365,497.298095703125,WAIT,0.2621196816445494,0.2113920048456661,0.526488313509784,0.45,0.5,0
2024-03-05,2024-03-04,495.29842384541166,495.7449748064334,490.1245174506037,492.3280334472656,WAIT,0.2563148760240225,0.21816777302888168,0.5255173509470953,0.45,0.5,0
2024-03-06,2024-03-05,495.59937641592427,497.07488469099843,493.53177482463775,494.82281494140625,WAIT,0.23093082650846863,0.22480595738767126,0.5442632161038599,0.45,0.5,1
2024-03-07,2024-03-06,498.1135389799133,500.7830096761973,494.8810360564722,499.734619140625,WAIT,0.3591972856244365,0.28848536592695473,0.35231734844860874,0.45,0.5,0
2024-03-08,2024-03-07,500.3655769656846,503.04470489035225,496.16235769149256,496.7350769042969,WAIT,0.33293569462569245,0.2773761131566472,0.38968819221766055,0.45,0.5,0
2024-03-11,2024-03-08,495.53145243574386,496.8904498381802,493.6094227797772,496.3080139160156,WAIT,0.3108145373316233,0.29230239210437897,0.39688307056399785,0.45,0.5,0
2024-03-12,2024-03-11,498.41449998303995,502.2294094929587,495.9003176684613,501.6470031738281,WAIT,0.3284799603330568,0.31552133369890883,0.3559987059680347,0.45,0.5,0
2024-03-13,2024-03-12,501.9672573875113,502.14197926945354,499.4239845817287,500.8606262207031,WAIT,0.3326911552115965,0.29928711427211513,0.3680217305162885,0.45,0.5,0
2024-03-14,2024-03-13,501.83132111592977,501.9866689472691,496.8321662856789,499.8705139160156,WAIT,0.2970952719086229,0.291532872914919,0.41137185517645825,0.45,0.5,0
2024-03-15,2024-03-14,496.80816405826874,498.2590460217431,494.77306623402836,496.4381408691406,WAIT,0.28891877159507917,0.2703435976257825,0.4407376307791383,0.45,0.5,1
2024-03-18,2024-03-15,500.4985887866016,501.93969410963876,498.97956820958467,499.3885192871094,WAIT,0.3168682138926062,0.31714208237952246,0.365989703727872,0.45,0.5,1
2024-03-19,2024-03-18,498.6971800566581,502.44602683293346,497.69420694088996,502.1636657714844,WAIT,0.29427251824309636,0.36030564749831867,0.3454218342585848,0.45,0.5,0
2024-03-20,2024-03-19,502.22210687375775,506.9446864437559,501.5502289693654,506.808349609375,WAIT,0.297729423695795,0.3111063498777773,0.3911642264264278,0.45,0.5,0
2024-03-21,2024-03-20,509.64192900671355,510.34298796408666,508.2007643189091,508.4831848144531,WAIT,0.2735651165387351,0.2289332202391349,0.4975016632221299,0.55,0.45,0
2024-03-22,2024-03-21,508.3955803879005,508.8824467519345,507.28551081424,507.5192565917969,WAIT,0.2602571097594681,0.20048934193128576,0.539253548309246,0.55,0.45,0
2024-03-25,2024-03-22,506.14624650613894,507.2660628859731,505.961234915521,506.1170654296875,WAIT,0.22975850425105895,0.16589129657046867,0.6043501991784717,0.55,0.45,0
