Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Entry_Cost,Net_Exit_Value,Net_Profit,Return_Percent,Holding_Days,Exit_Reason
2021-03-11,2021-03-18,364.2748354138323,363.4328530883789,7.051852108709154,2569.0691474893397,2562.6184439523267,-6.4507035370129415,-0.002510910826715967,5,MAX_HOLDING
2021-03-18,2021-03-25,366.36443783616534,362.96529525146485,7.0072296503241684,2567.4564716050863,2543.126840806838,-24.329630798248218,-0.009476160966046743,5,MAX_HOLDING
2021-03-25,2021-04-01,359.64432745218403,373.1268062438965,7.121252183383381,2561.374063905524,2656.864370634851,95.49030672932713,0.037280890782397366,5,MAX_HOLDING
2021-04-01,2021-04-09,371.21688462479415,383.26039923706054,6.963552168125229,2585.246640587856,2668.5868986853675,83.34025809751165,0.03223686931416378,5,MAX_HOLDING
2021-04-09,2021-04-16,380.5252720279038,388.6345378173828,6.847958110936848,2606.0817051122344,2661.086900133196,55.005195020961764,0.021106473719937683,5,MAX_HOLDING
2021-04-16,2021-04-23,388.7806959382498,388.1502291809082,6.737914392691107,2619.8330038674744,2615.0614834228204,-4.771520444654016,-0.0018213070976700258,5,MAX_HOLDING
2021-04-23,2021-04-30,384.6995777698097,388.6718533508301,6.806293630752204,2618.640123756311,2645.150218438418,26.510094682107137,0.010123611275030685,5,MAX_HOLDING
2021-05-06,2021-05-13,387.45759599518243,382.1334884338379,6.774948211222538,2625.2676474268374,2588.675700453667,-36.59194697317025,-0.01393836815420932,5,MAX_HOLDING
2021-05-13,2021-05-20,379.2954004052571,386.7904242919922,6.896624826141183,2616.1196606835447,2667.2816878415665,51.16202715802183,0.019556455282574544,5,MAX_HOLDING
2021-05-20,2021-05-27,383.7026038625497,390.52527287597655,6.850741371784936,2628.9101674730505,2675.1201048546927,46.20993738164225,0.01757760229063284,5,MAX_HOLDING
2021-09-22,2021-09-29,408.9331332541034,407.2697260498047,6.456308910324209,2640.4626518184605,2629.196215284534,-11.26643653392648,-0.0042668418453741044,5,MAX_HOLDING
2021-10-04,2021-10-11,406.0727937396249,407.49471766357425,6.494851034382842,2637.646042684979,2646.352826773957,8.706784088978111,0.0033009675855199595,5,MAX_HOLDING
2021-11-30,2021-12-03,433.2694144483544,430.4431155416017,6.092188127771884,2639.8227387072234,2622.078204139869,-17.74453456735455,-0.006721865944697643,3,SELL_SIGNAL
2021-12-16,2021-12-20,443.182042298611,429.8006037134468,5.9459157665521865,2635.3866050653846,2555.3026302748217,-80.08397479056293,-0.030387941805819427,2,STOP_LOSS
2021-12-20,2021-12-28,427.7144924647158,448.60627520141605,6.114134889112696,2615.3656113677443,2742.564994756001,127.19938338825659,0.04863541175099254,5,MAX_HOLDING
2022-01-07,2022-01-14,440.39110229739447,437.17637169799804,6.010341156599146,2647.1654572148086,2627.3163815952125,-19.84907561959608,-0.0074982376207341815,5,MAX_HOLDING
2022-01-14,2022-01-20,434.0291704308244,420.9240936588361,6.087007911906096,2642.203188309909,2561.912071584397,-80.29111672551198,-0.0303879418058194,3,STOP_LOSS
2022-01-26,2022-02-02,414.76482266122036,430.2432798339844,6.321337006074502,2622.130409128531,2719.44079515279,97.31038602425906,0.03711119236689693,5,MAX_HOLDING
2022-02-03,2022-02-10,424.3923428801642,422.6891879272461,6.235252427829907,2646.458005634596,2635.3102278622887,-11.147777772307109,-0.004212338812319063,5,MAX_HOLDING
2022-02-10,2022-02-14,424.75932364441246,411.9341406262931,6.223304759596983,2643.671061191519,2563.3353388303026,-80.33572236121654,-0.03038794180581934,2,STOP_LOSS
2022-02-14,2022-02-22,414.01194192765615,401.5112653530925,6.336350555269246,2623.5871306012154,2543.8617175540085,-79.72541304720698,-0.030387941805819607,5,STOP_LOSS
2022-02-22,2022-02-24,406.45488801972743,394.18238913085975,6.405127640313375,2603.6557773394134,2524.5360370952376,-79.11974024417577,-0.03038794180581948,2,STOP_LOSS
2022-02-24,2022-02-25,386.81393181351035,409.9407631687766,6.6792255088059305,2583.8758422783694,2737.8129937760177,153.9371514976483,0.059576063593640795,1,TAKE_PROFIT
2022-02-25,2022-03-04,404.3090197079246,406.5556354980469,6.485380717588159,2622.3601301527815,2636.404412277925,14.044282125143582,0.005355588640804017,5,MAX_HOLDING
2022-03-04,2022-03-08,406.3230126426532,394.05449559892094,6.461875301483886,2625.8712006840674,2546.0763794481027,-79.79482123596472,-0.03038794180581946,2,STOP_LOSS
