Date,Cash,Position_Value,Total_Equity,Signal,In_Position
2021-04-06,7755.7399217635675,2634.551624831198,10390.291546594766,BUY,True
2021-04-07,7755.7399217635675,2637.6009415444673,10393.340863308034,BUY,True
2021-04-08,7755.7399217635675,2650.1203746904816,10405.86029645405,BUY,True
2021-04-09,7818.245115336702,2625.0761747912816,10443.321290127984,BUY,True
2021-04-12,7818.245115336702,2626.0331083908295,10444.278223727531,WAIT,True
2021-04-13,7818.245115336702,2633.816056876166,10452.061172212867,BUY,True
2021-04-14,7818.245115336702,2624.821215413372,10443.066330750074,WAIT,True
2021-04-15,7818.245115336702,2653.0180507454047,10471.263166082106,WAIT,True
2021-04-16,7859.499011602424,2619.110067870174,10478.609079472597,BUY,True
2021-04-19,7859.499011602424,2606.2426829534434,10465.741694555867,WAIT,True
2021-04-20,7859.499011602424,2587.161110083175,10446.6601216856,WAIT,True
2021-04-21,7859.499011602424,2611.640745961162,10471.139757563586,BUY,True
2021-04-22,7859.499011602424,2587.7882658112544,10447.287277413678,BUY,True
2021-04-23,7855.920371268932,2642.3929112312703,10498.313282500203,BUY,True
2021-04-26,7855.920371268932,2647.9093158408136,10503.829687109746,BUY,True
2021-04-27,7855.920371268932,2647.3387320821566,10503.259103351089,BUY,True
2021-04-28,7855.920371268932,2646.5776767884836,10502.498048057416,WAIT,True
2021-04-29,7855.920371268932,2663.4436508034814,10519.364022072414,WAIT,True
2021-04-30,10501.07058970735,0.0,10501.07058970735,WAIT,False
2021-05-03,10501.07058970735,0.0,10501.07058970735,WAIT,False
2021-05-04,10501.07058970735,0.0,10501.07058970735,WAIT,False
2021-05-05,10501.07058970735,0.0,10501.07058970735,WAIT,False
2021-05-06,7875.802942280512,2644.92940255971,10520.732344840222,BUY,True
2021-05-07,7875.802942280512,2664.1793278894793,10539.982270169992,BUY,True
2021-05-10,7875.802942280512,2637.798008708957,10513.600950989468,BUY,True
2021-05-11,7875.802942280512,2614.2560560990128,10490.058998379525,WAIT,True
2021-05-12,7875.802942280512,2558.7158709157766,10434.51881319629,BUY,True
2021-05-13,7848.358982050634,2635.9584949317273,10484.317476982362,BUY,True
