Stop_Loss,Take_Profit,Max_Holding_Days,Min_BUY_Confidence,Regime_Filter,Use_Model_SELL,Ending_Capital,Net_Profit,Total_Return,Annualised_Return,Sharpe_Ratio,Maximum_Drawdown,Total_Trades,Win_Rate,Profit_Factor,Expectancy,Selection_Score
0.05,0.06,10,0.5,NONE,True,9663.884763088314,-336.1152369116862,-0.0336115236911686,-0.009945253671025611,-0.35124136314824494,-0.06119291318525222,20,0.45,0.6738678516243298,-16.80576184558422,-3.000960156974272
0.03,0.06,7,0.5,NONE,True,9658.765518357928,-341.23448164207184,-0.034123448164207204,-0.010098605179577058,-0.33858979611638157,-0.056269549848081524,30,0.3333333333333333,0.7346303499773208,-11.374482721402455,-3.0778302751909106
0.05,0.08,10,0.5,NONE,True,9651.821252417618,-348.17874758238213,-0.034817874758238165,-0.010306718770647483,-0.3570077944783086,-0.062364834166012795,20,0.45,0.6619486957230555,-17.408937379118925,-3.1462192032233913
0.05,0.1,10,0.5,NONE,True,9651.821252417618,-348.17874758238213,-0.034817874758238165,-0.010306718770647483,-0.3570077944783086,-0.062364834166012795,20,0.45,0.6619486957230555,-17.408937379118925,-3.1462192032233913
0.04,0.06,5,0.5,NONE,True,9619.945251328587,-380.0547486714131,-0.03800547486714134,-0.011263376562094196,-0.37939548424218,-0.05762033005958711,32,0.4375,0.7355660732827435,-11.876710895981503,-3.443892711975338
0.03,0.06,10,0.5,NONE,True,9624.825166765106,-375.1748332348943,-0.037517483323489476,-0.01111677599266414,-0.37318491638053675,-0.06463601419598719,31,0.3225806451612903,0.7444592301622379,-12.102413975319202,-3.4957143039824805
0.05,0.08,7,0.5,NONE,True,9591.185399737182,-408.8146002628182,-0.04088146002628179,-0.012128439838652527,-0.3842246932442201,-0.06796075996969353,25,0.44,0.6174098446621924,-16.35258401051273,-3.86714630442412
0.05,0.1,7,0.5,NONE,True,9591.185399737182,-408.8146002628182,-0.04088146002628179,-0.012128439838652527,-0.3842246932442201,-0.06796075996969353,25,0.44,0.6174098446621924,-16.35258401051273,-3.86714630442412
0.04,0.06,7,0.4,NONE,False,9572.03377838902,-427.9662216109791,-0.04279662216109792,-0.012705517279969936,-0.3464909346587032,-0.08544496421641778,40,0.425,0.7524457357436762,-10.699155540274592,-3.880643313899939
0.04,0.08,5,0.5,NONE,True,9580.942649841716,-419.05735015828395,-0.041905735015828394,-0.012436973258853956,-0.417093442434063,-0.06144106476812805,32,0.4375,0.7077241847437252,-13.095542192446288,-3.940977266475369
0.04,0.1,5,0.5,NONE,True,9580.942649841716,-419.05735015828395,-0.041905735015828394,-0.012436973258853956,-0.417093442434063,-0.06144106476812805,32,0.4375,0.7077241847437252,-13.095542192446288,-3.940977266475369
0.03,0.08,10,0.4,NONE,False,9576.076521443361,-423.92347855663866,-0.042392347855663814,-0.012583633191905141,-0.359676849978355,-0.09855707123741919,38,0.34210526315789475,0.7471616779133103,-11.15588101464847,-3.9678786156893056
0.04,0.06,7,0.5,NONE,True,9566.493346068492,-433.5066539315085,-0.0433506653931508,-0.012872614175294395,-0.41980300599412224,-0.06522502616089743,29,0.41379310344827586,0.6837670159662528,-14.948505307983051,-4.142337458049693
0.04,0.06,10,0.5,NONE,True,9571.665845387264,-428.3341546127358,-0.042833415461273616,-0.012716611848392123,-0.4214005387581478,-0.07044331024136685,25,0.36,0.6725822819086565,-17.13336618450925,-4.164003651976367
0.03,0.08,10,0.5,NONE,True,9560.398527629179,-439.6014723708213,-0.04396014723708208,-0.013056510224761064,-0.42923451548614344,-0.07412840149287181,28,0.32142857142857145,0.665125952056686,-15.700052584672319,-4.3420576326881095
0.03,0.1,10,0.5,NONE,True,9560.398527629179,-439.6014723708213,-0.04396014723708208,-0.013056510224761064,-0.42923451548614344,-0.07412840149287181,28,0.32142857142857145,0.665125952056686,-15.700052584672319,-4.3420576326881095
0.05,0.1,7,0.4,NONE,False,9516.51137378078,-483.48862621921944,-0.04834886262192195,-0.014383151974935338,-0.3823373383514376,-0.09875180624524627,36,0.4722222222222222,0.6812147639377355,-13.430239617200401,-4.54487575898036
0.05,0.06,5,0.5,NONE,False,9538.629316809669,-461.37068319033096,-0.04613706831903308,-0.013714020377372682,-0.4859942910876184,-0.07075686870714937,30,0.4666666666666667,0.6437283904512787,-15.379022773010805,-4.546057225667748
0.05,0.08,5,0.5,NONE,False,9535.717377271656,-464.282622728344,-0.046428262272834364,-0.013802052147029564,-0.4840571111139786,-0.07104054676240956,30,0.4666666666666667,0.6414145707874237,-15.476087424278132,-4.573899758819712
0.05,0.1,5,0.5,NONE,False,9535.717377271656,-464.282622728344,-0.046428262272834364,-0.013802052147029564,-0.4840571111139786,-0.07104054676240956,30,0.4666666666666667,0.6414145707874237,-15.476087424278132,-4.573899758819712
0.05,0.06,7,0.4,NONE,False,9511.33348329494,-488.6665167050596,-0.04886665167050597,-0.014539957048300578,-0.40579813621123334,-0.09300994752566116,38,0.47368421052631576,0.709560596826219,-12.859645176448925,-4.608026579646189
0.03,0.1,10,0.4,NONE,False,9525.620601761357,-474.37939823864326,-0.04743793982386435,-0.014107438393171967,-0.40722009650307406,-0.09855707123741919,38,0.3157894736842105,0.7285943959965013,-12.483668374701281,-4.612407376949291
0.05,0.08,7,0.4,NONE,False,9505.523765389493,-494.47623461050716,-0.049447623461050694,-0.014715968050519113,-0.3921750122737779,-0.09875180624524627,36,0.4722222222222222,0.6739577796736962,-13.73545096140285,-4.681684175001953
0.04,0.08,7,0.5,NONE,False,9505.455801801732,-494.5441981982676,-0.04945441981982679,-0.0147180275233314,-0.4552631085697154,-0.07248893598584727,29,0.4482758620689655,0.6351300660382176,-17.053248213733333,-4.845051207000774
0.04,0.1,7,0.5,NONE,False,9505.455801801732,-494.5441981982676,-0.04945441981982679,-0.0147180275233314,-0.4552631085697154,-0.07248893598584727,29,0.4482758620689655,0.6351300660382176,-17.053248213733333,-4.845051207000774
0.03,0.08,7,0.5,NONE,False,9516.074868775058,-483.92513122494165,-0.04839251312249415,-0.014396368579599916,-0.46378783128342477,-0.07151253616633368,30,0.36666666666666664,0.6168736113415775,-16.13083770749804,-4.854799232974354
0.03,0.1,7,0.5,NONE,False,9516.074868775058,-483.92513122494165,-0.04839251312249415,-0.014396368579599916,-0.46378783128342477,-0.07151253616633368,30,0.36666666666666664,0.6168736113415775,-16.13083770749804,-4.854799232974354
0.03,0.06,10,0.4,NONE,False,9491.000865139938,-508.99913486006153,-0.0508999134860062,-0.015156286556790466,-0.4448544083810326,-0.09375606398594938,41,0.3170731707317073,0.7313278422341942,-12.414613045367277,-5.025055216382732
0.04,0.08,10,0.5,NONE,True,9501.053284003934,-498.9467159960659,-0.04989467159960659,-0.014851457426052983,-0.48559228295837337,-0.07730088131364743,25,0.36,0.6178802972426718,-19.957868639842435,-5.060072309948381
0.04,0.1,10,0.5,NONE,True,9501.053284003934,-498.9467159960659,-0.04989467159960659,-0.014851457426052983,-0.48559228295837337,-0.07730088131364743,25,0.36,0.6178802972426718,-19.957868639842435,-5.060072309948381
0.03,0.08,7,0.5,NONE,True,9502.758651541415,-497.241348458585,-0.04972413484585847,-0.014799766578609708,-0.4812738877625115,-0.0715125361663339,30,0.3333333333333333,0.6100576482488614,-16.57471161528612,-5.063082814695009
0.03,0.1,7,0.5,NONE,True,9502.758651541415,-497.241348458585,-0.04972413484585847,-0.014799766578609708,-0.4812738877625115,-0.0715125361663339,30,0.3333333333333333,0.6100576482488614,-16.57471161528612,-5.063082814695009
0.05,0.06,5,0.5,NONE,True,9491.786951811808,-508.21304818819226,-0.05082130481881919,-0.015132441064932833,-0.5423155714212256,-0.07075686870714837,30,0.43333333333333335,0.6107132322520762,-16.94043493960659,-5.193471927846108
0.05,0.08,5,0.5,NONE,True,9453.303948612935,-546.6960513870654,-0.054669605138706556,-0.016301445313903984,-0.5802568844731198,-0.07452434332237312,30,0.43333333333333335,0.5802465258207682,-18.22320171290224,-5.688418766985167
0.05,0.1,5,0.5,NONE,True,9453.303948612935,-546.6960513870654,-0.054669605138706556,-0.016301445313903984,-0.5802568844731198,-0.07452434332237312,30,0.43333333333333335,0.5802465258207682,-18.22320171290224,-5.688418766985167
0.04,0.08,7,0.4,NONE,False,9410.121010253075,-589.8789897469251,-0.058987898974692476,-0.017617236845128947,-0.4797830084825527,-0.09601647154084247,39,0.4358974358974359,0.6387386337399921,-15.125102301203206,-5.879736316337768
0.04,0.1,7,0.4,NONE,False,9410.121010253075,-589.8789897469251,-0.058987898974692476,-0.017617236845128947,-0.4797830084825527,-0.09601647154084247,39,0.4358974358974359,0.6387386337399921,-15.125102301203206,-5.879736316337768
0.04,0.08,7,0.5,NONE,True,9411.976844916806,-588.0231550831941,-0.05880231550831938,-0.01756060147024019,-0.5551181118023135,-0.08032336502935344,29,0.41379310344827586,0.5673658730230139,-20.276660520110013,-6.089632162994629
0.04,0.1,7,0.5,NONE,True,9411.976844916806,-588.0231550831941,-0.05880231550831938,-0.01756060147024019,-0.5551181118023135,-0.08032336502935344,29,0.41379310344827586,0.5673658730230139,-20.276660520110013,-6.089632162994629
0.05,0.06,10,0.4,NONE,False,9354.640835647519,-645.3591643524815,-0.06453591643524814,-0.01931401359286833,-0.56563989456095,-0.09861364787586002,31,0.3870967741935484,0.6371005346773537,-20.818037559757496,-6.659287771651673
0.03,0.06,10,0.55,NONE,False,9408.947115199908,-591.0528848000922,-0.05910528848000918,-0.017653065231035048,-0.7565135826679835,-0.06911134118303874,20,0.25,0.45874425701619587,-29.552644240004703,-6.7839230975037275
0.05,0.08,10,0.4,NONE,False,9320.187213918454,-679.8127860815457,-0.06798127860815462,-0.020371312506456074,-0.5938344395430503,-0.11121384142908897,30,0.4,0.6040195477203312,-22.660426202718174,-7.0929910336103195
0.04,0.08,10,0.4,NONE,False,9317.583528830144,-682.4164711698559,-0.06824164711698555,-0.020451325684767374,-0.5708064764147738,-0.11370523509601504,35,0.34285714285714286,0.6356226632442873,-19.49761346199578,-7.101003093522688
0.03,0.06,5,0.4,NONE,False,9289.939597895882,-710.0604021041181,-0.07100604021041179,-0.021301821607982885,-0.6184938912379607,-0.09910487068791951,55,0.38181818181818183,0.6721320464779139,-12.910189129165751,-7.382746445908923
0.05,0.1,10,0.4,NONE,False,9294.838470805069,-705.1615291949311,-0.07051615291949309,-0.021150971952894393,-0.6161647531324304,-0.11121384142908897,30,0.36666666666666664,0.6000648292555846,-23.505384306497778,-7.4284271437210085
0.04,0.1,10,0.4,NONE,False,9292.241867135072,-707.7581328649285,-0.07077581328649285,-0.021230921450924645,-0.5923269458095772,-0.11370523509601504,35,0.3142857142857143,0.6312265426196354,-20.221660938997854,-7.430428198459106
0.04,0.06,10,0.4,NONE,False,9289.133908728832,-710.8660912711675,-0.07108660912711673,-0.02132663636439691,-0.5967847793466394,-0.10943921050711003,37,0.32432432432432434,0.6489999270894419,-19.21259706138286,-7.4383454304982966
0.04,0.06,7,0.4,NONE,True,9290.795156326358,-709.2048436736422,-0.0709204843673642,-0.021275472574557086,-0.6355390052112242,-0.09284428033331316,41,0.3902439024390244,0.6110561894599633,-17.29767911399122,-7.454670635593192
0.03,0.06,10,0.4,NONE,True,9294.372337325609,-705.6276626743911,-0.07056276626743907,-0.021165323051392182,-0.6388426017003855,-0.11051667594313863,44,0.29545454545454547,0.6449143402791935,-16.036992333508973,-7.504109620354078
0.03,0.06,10,0.55,NONE,True,9346.956527833176,-653.0434721668244,-0.06530434721668243,-0.019549587480088615,-0.8435413970014725,-0.07524447531872402,20,0.25,0.39911727871842334,-32.652173608340966,-7.64364471227149
0.03,0.08,10,0.4,NONE,True,9268.125188405775,-731.8748115942253,-0.07318748115942253,-0.021974231033861757,-0.6593043085819049,-0.11647069797922993,41,0.2926829268292683,0.600209360862732,-17.850605160834675,-7.8609351433932915
0.03,0.1,10,0.4,NONE,True,9268.125188405775,-731.8748115942253,-0.07318748115942253,-0.021974231033861757,-0.6593043085819049,-0.11647069797922993,41,0.2926829268292683,0.600209360862732,-17.850605160834675,-7.8609351433932915
0.04,0.06,5,0.4,NONE,False,9235.636585331387,-764.3634146686127,-0.07643634146686129,-0.02297774200156255,-0.6630839230756365,-0.10288347136207387,48,0.4166666666666667,0.6190497645041801,-15.924237805596098,-8.03696903302863
0.05,0.06,7,0.4,NONE,True,9198.190388032821,-801.8096119671791,-0.08018096119671791,-0.024137487390264667,-0.70635969415368,-0.10203936667406388,40,0.45,0.5478998480818871,-20.045240299179387,-8.53495502657133
0.03,0.06,7,0.4,NONE,False,9193.325307903631,-806.6746920963687,-0.08066746920963686,-0.024288408783713633,-0.6931833210518095,-0.11217368447917386,46,0.32608695652173914,0.5898242168916761,-17.536406349921048,-8.649376074133064
0.03,0.08,5,0.4,NONE,False,9185.532126190878,-814.4678738091225,-0.08144678738091227,-0.024530281688199373,-0.7143300712668544,-0.1048590459452522,53,0.3584905660377358,0.6230350768364392,-15.367318373756882,-8.696672283696012
0.03,0.1,5,0.4,NONE,False,9185.532126190878,-814.4678738091225,-0.08144678738091227,-0.024530281688199373,-0.7143300712668544,-0.1048590459452522,53,0.3584905660377358,0.6230350768364392,-15.367318373756882,-8.696672283696012
0.04,0.08,7,0.4,NONE,True,9149.950099174011,-850.0499008259885,-0.08500499008259887,-0.025636471345454548,-0.7556469076119667,-0.10769082266680463,40,0.4,0.5082333262847497,-21.251247520649677,-9.211250319865874
0.04,0.1,7,0.4,NONE,True,9149.950099174011,-850.0499008259885,-0.08500499008259887,-0.025636471345454548,-0.7556469076119667,-0.10769082266680463,40,0.4,0.5082333262847497,-21.251247520649677,-9.211250319865874
0.05,0.08,7,0.4,NONE,True,9143.42052364188,-856.5794763581198,-0.08565794763581203,-0.025839796077377297,-0.7558798952426211,-0.10832759118556834,37,0.43243243243243246,0.47633838702031445,-23.150796658327376,-9.277111325799266
0.05,0.1,7,0.4,NONE,True,9143.42052364188,-856.5794763581198,-0.08565794763581203,-0.025839796077377297,-0.7558798952426211,-0.10832759118556834,37,0.43243243243243246,0.47633838702031445,-23.150796658327376,-9.277111325799266
0.05,0.06,10,0.4,NONE,True,9135.836968843865,-864.1630311561348,-0.08641630311561344,-0.02607606972483767,-0.7949708401733134,-0.11538069412536456,33,0.36363636363636365,0.5171063183143688,-26.186758519882858,-9.466210004082603
0.03,0.06,5,0.4,NONE,True,9125.42827379714,-874.5717262028593,-0.08745717262028596,-0.026400589681611075,-0.7900405109155234,-0.11069118997651106,56,0.35714285714285715,0.599052110346868,-15.617352253622455,-9.480294506346429
0.04,0.08,5,0.4,NONE,False,9089.024315459294,-910.9756845407064,-0.09109756845407069,-0.027537648440929763,-0.7988073022312502,-0.11172947173189829,47,0.3829787234042553,0.5679713197466174,-19.38246137320655,-9.868150878450596
0.04,0.1,5,0.4,NONE,False,9089.024315459294,-910.9756845407064,-0.09109756845407069,-0.027537648440929763,-0.7988073022312502,-0.11172947173189829,47,0.3829787234042553,0.5679713197466174,-19.38246137320655,-9.868150878450596
0.05,0.06,5,0.4,NONE,False,9070.454205853208,-929.5457941467921,-0.09295457941467922,-0.02811891787375742,-0.8290495299159405,-0.11525928755720016,46,0.43478260869565216,0.5351234219226949,-20.207517264060648,-10.098910258238655
0.04,0.06,10,0.4,NONE,True,9071.862240666323,-928.1377593336765,-0.0928137759333677,-0.028074814998021114,-0.815213792671364,-0.12185091269663506,39,0.3076923076923077,0.5439400210495299,-23.798404085478897,-10.182023762634296
0.04,0.06,5,0.4,NONE,True,9066.329139632355,-933.6708603676452,-0.09336708603676447,-0.02824815229133404,-0.837667604671723,-0.1096778148875085,49,0.3877551020408163,0.5374131883255566,-19.054507354441775,-10.196553337541028
0.04,0.08,10,0.4,NONE,True,9064.096365187765,-935.9036348122354,-0.09359036348122352,-0.028318120357135323,-0.8245759101631013,-0.12600762474849136,37,0.2972972972972973,0.5266848434218511,-25.294692832762934,-10.310213652477898
0.04,0.1,10,0.4,NONE,True,9064.096365187765,-935.9036348122354,-0.09359036348122352,-0.028318120357135323,-0.8245759101631013,-0.12600762474849136,37,0.2972972972972973,0.5266848434218511,-25.294692832762934,-10.310213652477898
0.03,0.08,7,0.4,NONE,False,9055.9294081313,-944.0705918686999,-0.09440705918686998,-0.028574150820367183,-0.8046178956298936,-0.12014930850039063,46,0.32608695652173914,0.5150642510702462,-20.523273736276085,-10.328939810855191
0.03,0.1,7,0.4,NONE,False,9055.9294081313,-944.0705918686999,-0.09440705918686998,-0.028574150820367183,-0.8046178956298936,-0.12014930850039063,46,0.32608695652173914,0.5150642510702462,-20.523273736276085,-10.328939810855191
0.05,0.08,5,0.4,NONE,False,9048.466394336721,-951.5336056632786,-0.09515336056632784,-0.02880825589275804,-0.8538527864553186,-0.11648809531711923,45,0.4222222222222222,0.5383976619702753,-21.145191236961747,-10.378909840668042
0.05,0.1,5,0.4,NONE,False,9048.466394336721,-951.5336056632786,-0.09515336056632784,-0.02880825589275804,-0.8538527864553186,-0.11648809531711923,45,0.4222222222222222,0.5383976619702753,-21.145191236961747,-10.378909840668042
0.03,0.08,5,0.4,NONE,True,9044.9845696562,-955.0154303437994,-0.09550154303437997,-0.02891752296777228,-0.861064077338203,-0.11420560625403053,54,0.3333333333333333,0.559328170629018,-17.68547093229258,-10.493826560406081
0.03,0.1,5,0.4,NONE,True,9044.9845696562,-955.0154303437994,-0.09550154303437997,-0.02891752296777228,-0.861064077338203,-0.11420560625403053,54,0.3333333333333333,0.559328170629018,-17.68547093229258,-10.493826560406081
0.05,0.08,10,0.4,NONE,True,9043.740625726234,-956.2593742737663,-0.09562593742737668,-0.028956567794681698,-0.8821545046283323,-0.12769674565949118,32,0.34375,0.4815000400667817,-29.883105446055282,-10.629349457587042
0.05,0.1,10,0.4,NONE,True,9043.740625726234,-956.2593742737663,-0.09562593742737668,-0.028956567794681698,-0.8821545046283323,-0.12769674565949118,32,0.34375,0.4815000400667817,-29.883105446055282,-10.629349457587042
0.03,0.06,7,0.4,NONE,True,9029.458561502182,-970.5414384978176,-0.09705414384978173,-0.029405124792188597,-0.8674613646936113,-0.11836125522771046,48,0.3125,0.5226179528326031,-20.21961330203799,-10.723580416760504
0.04,0.08,5,0.4,NONE,True,8977.387163772071,-1022.6128362279287,-0.10226128362279285,-0.031044796756949267,-0.9179271455852024,-0.11841200190814005,48,0.3541666666666667,0.517848300684005,-21.304434088081905,-11.30837968800716
0.04,0.1,5,0.4,NONE,True,8977.387163772071,-1022.6128362279287,-0.10226128362279285,-0.031044796756949267,-0.9179271455852024,-0.11841200190814005,48,0.3541666666666667,0.517848300684005,-21.304434088081905,-11.30837968800716
0.05,0.08,5,0.4,NONE,True,8910.01607652834,-1089.98392347166,-0.10899839234716602,-0.03317625669292834,-1.0048124911654777,-0.12571323160793146,46,0.391304347826087,0.47321950644951283,-23.695302684166602,-12.170653594379887
0.05,0.1,5,0.4,NONE,True,8910.01607652834,-1089.98392347166,-0.10899839234716602,-0.03317625669292834,-1.0048124911654777,-0.12571323160793146,46,0.391304347826087,0.47321950644951283,-23.695302684166602,-12.170653594379887
